語り合っ,語り合う
入れ替わっ,入れ替わる
替わっ,替わる
取消し,取消す
見抜い,見抜く
親しん,親しむ
突き出し,突き出す
請け負っ,請け負う
潜っ,潜る
喰っ,喰う
推し,推す
見習っ,見習う
省い,省く
醸し出し,醸し出す
思い返し,思い返す
降り出し,降り出す
買い込ん,買い込む
育ん,育む
叱っ,叱る
剥がし,剥がす
砕い,砕く
患っ,患う
座り込ん,座り込む
降り立っ,降り立つ
凹ん,凹む
拡がっ,拡がる
張り付い,張り付く
見計らっ,見計らう
撒い,撒く
貯まっ,貯まる
取り合っ,取り合う
唄っ,唄う
仕切っ,仕切る
駆け込ん,駆け込む
垂らし,垂らす
合わさっ,合わさる
織り込ん,織り込む
乗り継い,乗り継ぐ
立ち会っ,立ち会う
流れ込ん,流れ込む
意気込ん,意気込む
煮込ん,煮込む
著し,著す
振るっ,振るう
立ち去っ,立ち去る
志し,志す
見過ごし,見過ごす
創り出し,創り出す
駆け出し,駆け出す
消え去っ,消え去る
喫し,喫す
酔っぱらっ,酔っぱらう
逆らっ,逆らう
浸し,浸す
受け渡し,受け渡す
着こなし,着こなす
退い,退く
摘ん,摘む
悲しん,悲しむ
区切っ,区切る
憎ん,憎む
赦し,赦す
導き出し,導き出す
粘っ,粘る
配し,配す
好い,好く
縛っ,縛る
宿っ,宿る
盛っ,盛る
逃がし,逃がす
叶っ,叶う
習わし,習わす
銘打っ,銘打つ
引き落とし,引き落とす
抜かし,抜かす
言い放っ,言い放つ
向かい合っ,向かい合う
閉ざし,閉ざす
抜き出し,抜き出す
差し迫っ,差し迫る
切り返し,切り返す
生き抜い,生き抜く
動き回っ,動き回る
挿し,挿す
剥い,剥く
操っ,操る
摂っ,摂る
赴い,赴く
害し,害す
飛びつい,飛びつく
睨ん,睨む
払い戻し,払い戻す
思い起こし,思い起こす
落ちつい,落ちつく
割り込ん,割り込む
押し込ん,押し込む
待ち望ん,待ち望む
覆し,覆す
詠ん,詠む
排し,排す
熱し,熱す
渇い,渇く
慣れ親しん,慣れ親しむ
読み取っ,読み取る
買い出し,買い出す
出し合っ,出し合う
解し,解す
遠のい,遠のく
編ん,編む
滅ぼし,滅ぼす
迷い込ん,迷い込む
揺らし,揺らす
入り組ん,入り組む
興し,興す
使い果たし,使い果たす
出直し,出直す
吸い込ん,吸い込む
突き進ん,突き進む
持ち直し,持ち直す
聞かし,聞かす
損なっ,損なう
振舞っ,振舞う
抱え込ん,抱え込む
移り住ん,移り住む
誤魔化し,誤魔化す
飛び回っ,飛び回る
汲ん,汲む
飛び立っ,飛び立つ
濁っ,濁る
作り直し,作り直す
見返し,見返す
見張っ,見張る
見下し,見下す
積み重なっ,積み重なる
尖っ,尖る
切らし,切らす
描き出し,描き出す
振り込ん,振り込む
吹っ飛ん,吹っ飛ぶ
画し,画す
唸っ,唸る
吹き込ん,吹き込む
突っ走っ,突っ走る
行き着い,行き着く
揺らい,揺らぐ
冷え込ん,冷え込む
洗い出し,洗い出す
済まし,済ます
抱き合っ,抱き合う
閉じこもっ,閉じこもる
売り渡し,売り渡す
取り囲ん,取り囲む
食い違っ,食い違う
引き離し,引き離す
傷ん,傷む
舞い上がっ,舞い上がる
斬っ,斬る
持ち上がっ,持ち上がる
連なっ,連なる
実っ,実る
陣取っ,陣取る
占っ,占う
気遣っ,気遣う
受け持っ,受け持つ
寄り添っ,寄り添う
放り出し,放り出す
耕し,耕す
絞り込ん,絞り込む
飲み干し,飲み干す
編み出し,編み出す
立ち直っ,立ち直る
埋め込ん,埋め込む
漕い,漕ぐ
押し切っ,押し切る
弱まっ,弱まる
長引い,長引く
寝そべっ,寝そべる
気にいっ,気にいる
亘っ,亘る
授かっ,授かる
恨ん,恨む
買い戻し,買い戻す
慣らし,慣らす
取り壊し,取り壊す
聞き返し,聞き返す
慕っ,慕う
吊るし,吊るす
更かし,更かす
振る舞っ,振る舞う
偽っ,偽る
煮詰まっ,煮詰まる
嫁い,嫁ぐ
思いきっ,思いきる
指し示し,指し示す
建て直し,建て直す
沸かし,沸かす
張り出し,張り出す
片付い,片付く
