ジュワキ	受話器
カンネン	観念
シハン	市販
ノル	乗る
ゴゾンジ	ご存じ
デンエン	田園
キグ	器具
ヨウグ	用具
エイワ	英和
ヒコウジョウ	飛行場
イドウ	異動
トクイ	特異
ユウズウ	融通
ジタイ	辞退
シャドウ	車道
ニュウジョウケン	入場券
フカミ	深み
マッカ	真っ赤
キゴウ	記号
タンゴ	単語
タンコウボン	単行本
トウアン	答案
コンヤ	今夜
ホソイ	細い
ブンケン	文献
ヨゾラ	夜空
ゲンカク	厳格
フダン	不断
メイセイ	名声
アイズ	合図
トクシツ	特質
アイスル	愛する
ナニシロ	何しろ
ジッキョウ	実況
ヤブル	破る
ツム	積む
マチカマエル	待ち構える
ハツオン	発音
モウシアゲル	申し上げる
チョウミリョウ	調味料
トリケス	取り消す
イコウ	以降
カコウ	下降
ギフ	義父
シキベツ	識別
ムイシキ	無意識
イデン	遺伝
チョウカ	超過
ソソグ	注ぐ
ロウリョク	労力
ナミキ	並木
ジュウジ	従事
ハヤクチ	早口
ヒガエリ	日帰り
ヘイタイ	兵隊
ユウゲン	有限
ミマイ	見舞い
アヤウイ	危うい
アヤウク	危うく
サンリン	山林
リンギョウ	林業
サイテン	採点
スイリ	推理
アゲル	上げる
スイソ	水素
ホッキョク	北極
オイダス	追い出す
シュウキ	周期
コウミンカン	公民館
スイゾクカン	水族館
タイガ	大河
カワラ	河原
フリ	振り
ブリ	振り
ゲッキュウ	月給
コウロ	航路
ノボル	登る
トンヤ	問屋
トウヨウ	登用
ヒヤヤカ	冷ややか
ネサガリ	値下がり
モケイ	模型
ハツイク	発育
テキオウ	適応
ノゾマシイ	望ましい
オチバ	落ち葉
ケシキ	景色
シンユウ	親友
ヘイエキ	兵役
ムカエ	迎え
クミコム	組み込む
バンジ	万事
オチコム	落ち込む
カンショウ	観賞
スガオ	素顔
コウセン	光線
ノリキ	乗り気
ヨケイ	余計
ヒダリガワ	左側
クウソウ	空想
シャカイカガク	社会科学
コクハク	告白
オモシロイ	面白い
コウテイ	高低
モヨオス	催す
タンチョウ	単調
カンサン	換算
ツヤ	通夜
ヒキカエ	引き換え
ザダンカイ	座談会
ハッセイ	発声
イトシイ	愛しい
ダハ	打破
ヨウセキ	容積
ミツモリ	見積もり
タメシ	試し
ボウラク	暴落
ジョガイ	除外
シンプ	神父
セビロ	背広
モクロク	目録
キセイ	帰省
ナラビニ	並びに
ジムシツ	事務室
ミチ	未知
ミギガワ	右側
シュウギョウ	修業
サイゲン	際限
キマツ	期末
